id,size
"artilleriegranaten","0"
"artilleriemunitie","0"
"assagaaien","96"
"bajonetten","3"
"belegeringsgeschut","0"
"belegstukjes","2"
"beulszwaarden","12"
"bijlen (wapens)","367"
"blaasroeren","300"
"blanke wapens","41"
"bloedlaters","0"
"boemerangs","114"
"bogen (wapens)","2080"
"boksbeugels","6"
"bola's","8"
"bolo's","0"
"bommen (munitie)","0"
"boogpezen","38"
"brisantgranaten","0"
"ceremoniële bijlen","206"
"ceremoniële degens","5"
"ceremoniële dolken","21"
"ceremoniële messen","67"
"ceremoniële sabels","0"
"ceremoniële speren","63"
"ceremoniële wapens","70"
"ceremoniële zwaarden","34"
"degens","15"
"degenstokken","10"
"dolken","1713"
"draagbare vuurwapens","0"
"draagbare vuurwapens naar functie","0"
"draagbare vuurwapens naar vorm","0"
"drietanden","13"
"dubbelzwaarden","3"
"elgers","10"
"enterpieken","1"
"explosieve wapens","0"
"fighting bracelets","0"
"geschut","0"
"geschut naar functie","0"
"geschut naar vorm","0"
"gevesten","26"
"gevestknoppen","0"
"geweerkogels","4"
"geweerpatronen","0"
"geweren","61"
"goedendags","1"
"granaten","1"
"hagelgeweren","0"
"hakmessen (wapens)","18"
"handbogen","553"
"handkanonnen","0"
"hanengevechtsmesjes","27"
"harpoenen","208"
"harpoenkopstukken","1"
"harpoenlijnspanners","2"
"harpoenonderdelen","11"
"harpoenpunten","104"
"harpoenschachten","11"
"hartsvangers","8"
"hellebaarden","1"
"hulzen","2"
"jachtgeweren","8"
"jachtsperen","46"
"kanonlopen","3"
"kanonnen","53"
"kanonskogels","1"
"karabijnen","1"
"kardoeskokers","0"
"katapulten (handwapens)","18"
"klingen (wapenonderdelen)","19"
"knobkerries","0"
"knotsen","1554"
"knotskoppen","64"
"knuppels","34"
"kogels (munitie)","59"
"krisgrepen","245"
"krislemmeten","44"
"krissen","1762"
"kromzwaarden","9"
"kruisbogen","36"
"landmijnen","0"
"lansen","1740"
"lanspunten","295"
"lansschachten","15"
"lemmeten","26"
"lichtspoorkogels","0"
"lonten (vuurwapenonderdelen)","0"
"lopen (vuurwapenonderdelen)","0"
"lopen en looponderdelen","0"
"lyngbybijlen","0"
"machinegeweren","0"
"magische dolken","19"
"messen (wapens)","645"
"mijnen (wapens)","0"
"munitie","19"
"munitie voor lichte wapens","2"
"munitieonderdelen","0"
"musketten","6"
"offermessen","10"
"onderdelen van blanke wapens","4"
"pantserdoorborende granaten","0"
"patronen (munitie)","2"
"patroonhulzen","3"
"patroonmunitie","0"
"pieken","43"
"pijlen","12001"
"pijlonderdelen","0"
"pijlpunten","616"
"pijlschachten","15"
"pistolen","16"
"ploertendoders","1"
"polsmessen","9"
"ponjaards","2"
"projectielen met niet-explosieve voorstuwing","1"
"projectiellanceerders met niet-explosief voortstuwingsmiddel","1"
"projectielwapenonderdelen","2"
"projectielwapens","6"
"projectielwapens met explosief voortstuwingsmiddel","4"
"projectielwapens met niet-explosief voortstuwingsmiddel","2"
"revolvers","2"
"sabels","244"
"scalpeermessen","0"
"schermzwaarden","0"
"schichten","0"
"schijfmessen","9"
"schoudervuurwapens","1"
"slaghoedjes (vuurwapenonderdelen)","0"
"slagwapenonderdelen","0"
"slagwapens","71"
"slagzwaarden","47"
"slingers (projectielwapens)","43"
"slingerstenen","10"
"sloten en slotonderdelen","1"
"slotonderdelen","1"
"snelmessen","8"
"speerpunten","237"
"speerschachten","9"
"speerwerpers","148"
"speren","3364"
"speren naar functie","2"
"speren naar vorm","0"
"spreidloopgeweren","11"
"steenslingers","51"
"stiletten","0"
"stokwapenonderdelen","2"
"stokwapens","6"
"stootsperen","13"
"strijdbijlen","133"
"tomahawks","7"
"varkenssperen","13"
"vingermessen","7"
"vissperen","308"
"voetangels","23"
"vogelpijlen","148"
"vogelsperen","6"
"voorladers","10"
"vuistmessen","2"
"vuistvuurwapens","5"
"vuistwapens","0"
"vuursteengeweren","11"
"vuurstenen","28"
"vuurwapenonderdelen","3"
"vuurwapens","4"
"wapenonderdelen","4"
"wapens","63"
"wapens en munitie","2"
"werpbijlen","0"
"werphouten","57"
"werpmessen","124"
"werppijlen","9"
"werpschijven","5"
"werpsperen","149"
"werpstokken (projectielen)","26"
"wurgkoorden","2"
"zalmsperen","1"
"zeemijnen","0"
"zestanden","0"
"zwaarden","2072"
"zwaarden naar functie","1"
"zwaarden naar vorm","2"
"zwaardsieraden","52"
"zwaardstootplaten","652"
