# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id,parentId
"artilleriegranaten","artilleriemunitie"
"artilleriemunitie","munitie"
"assagaaien","speren naar vorm"
"bajonetten","blanke wapens"
"belegeringsgeschut","geschut naar functie"
"belegstukjes","projectielwapenonderdelen"
"beulszwaarden","zwaarden naar functie"
"bijlen (wapens)","blanke wapens"
"blaasroeren","projectiellanceerders met niet-explosief voortstuwingsmiddel"
"blanke wapens","wapens"
"bloedlaters","ceremoniële wapens"
"boemerangs","werpstokken (projectielen)"
"bogen (wapens)","projectiellanceerders met niet-explosief voortstuwingsmiddel"
"boksbeugels","vuistwapens"
"bola's","projectielen met niet-explosieve voorstuwing"
"bolo's","messen (wapens)"
"bommen (munitie)","explosieve wapens"
"boogpezen","projectielwapenonderdelen"
"brisantgranaten","granaten"
"ceremoniële bijlen","ceremoniële wapens"
"ceremoniële degens","ceremoniële zwaarden"
"ceremoniële dolken","ceremoniële wapens"
"ceremoniële messen","ceremoniële wapens"
"ceremoniële sabels","ceremoniële zwaarden"
"ceremoniële speren","ceremoniële wapens"
"ceremoniële wapens","wapens"
"ceremoniële zwaarden","ceremoniële wapens"
"degens","zwaarden naar vorm"
"degenstokken","blanke wapens"
"dolken","blanke wapens"
"draagbare vuurwapens","vuurwapens"
"draagbare vuurwapens naar functie","draagbare vuurwapens"
"draagbare vuurwapens naar vorm","draagbare vuurwapens"
"drietanden","elgers"
"dubbelzwaarden","zwaarden naar vorm"
"elgers","vissperen"
"enterpieken","pieken"
"explosieve wapens","wapens"
"fighting bracelets","vuistwapens"
"geschut","vuurwapens"
"geschut naar functie","geschut"
"geschut naar vorm","geschut"
"gevesten","onderdelen van blanke wapens"
"gevestknoppen","onderdelen van blanke wapens"
"geweerkogels","kogels (munitie)"
"geweerpatronen","patronen (munitie)"
"geweren","schoudervuurwapens"
"goedendags","knuppels"
"granaten","explosieve wapens"
"hagelgeweren","schoudervuurwapens"
"hakmessen (wapens)","messen (wapens)"
"handbogen","bogen (wapens)"
"handkanonnen","draagbare vuurwapens naar vorm"
"hanengevechtsmesjes","messen (wapens)"
"harpoenen","blanke wapens"
"harpoenkopstukken","harpoenonderdelen"
"harpoenlijnspanners","harpoenonderdelen"
"harpoenonderdelen","onderdelen van blanke wapens"
"harpoenpunten","harpoenonderdelen"
"harpoenschachten","harpoenonderdelen"
"hartsvangers","zwaarden naar vorm"
"hellebaarden","stokwapens"
"hulzen","munitieonderdelen"
"jachtgeweren","draagbare vuurwapens naar functie"
"jachtsperen","speren naar functie"
"kanonlopen","lopen (vuurwapenonderdelen)"
"kanonnen","geschut naar vorm"
"kanonskogels","artilleriemunitie"
"karabijnen","schoudervuurwapens"
"kardoeskokers","patronen (munitie)"
"katapulten (handwapens)","projectiellanceerders met niet-explosief voortstuwingsmiddel"
"klingen (wapenonderdelen)","onderdelen van blanke wapens"
"knobkerries","knuppels"
"knotsen","knuppels"
"knotskoppen","slagwapenonderdelen"
"knuppels","slagwapens"
"kogels (munitie)","munitie voor lichte wapens"
"krisgrepen","gevesten"
"krislemmeten","lemmeten"
"krissen","dolken"
"kromzwaarden","zwaarden naar vorm"
"kruisbogen","bogen (wapens)"
"landmijnen","mijnen (wapens)"
"lansen","speren naar vorm"
