"catBTLabel","catLabel","choCount"
"projectielen met niet-explosieve voorstuwing","pijlen","12001"
"stokwapens","speren","3364"
"projectiellanceerders met niet-explosief voortstuwingsmiddel","bogen (wapens)","2080"
"blanke wapens","zwaarden","2072"
"dolken","krissen","1762"
"speren naar vorm","lansen","1740"
"blanke wapens","dolken","1713"
"knuppels","knotsen","1554"
"zwaardsieraden","zwaardstootplaten","652"
"blanke wapens","messen (wapens)","645"
"pijlonderdelen","pijlpunten","616"
"bogen (wapens)","handbogen","553"
"blanke wapens","bijlen (wapens)","367"
"speren naar functie","vissperen","308"
"projectiellanceerders met niet-explosief voortstuwingsmiddel","blaasroeren","300"
"stokwapenonderdelen","lanspunten","295"
"gevesten","krisgrepen","245"
"zwaarden naar vorm","sabels","244"
"stokwapenonderdelen","speerpunten","237"
"blanke wapens","harpoenen","208"
"ceremoniële wapens","ceremoniële bijlen","206"
"speren naar vorm","werpsperen","149"
"pijlen","vogelpijlen","148"
"projectiellanceerders met niet-explosief voortstuwingsmiddel","speerwerpers","148"
"bijlen (wapens)","strijdbijlen","133"
"projectielen met niet-explosieve voorstuwing","werpmessen","124"
"werpstokken (projectielen)","boemerangs","114"
"harpoenonderdelen","harpoenpunten","104"
"speren naar vorm","assagaaien","96"
"wapens","slagwapens","71"
"wapens","ceremoniële wapens","70"
"ceremoniële wapens","ceremoniële messen","67"
"slagwapenonderdelen","knotskoppen","64"
"wapens en munitie","wapens","63"
"ceremoniële wapens","ceremoniële speren","63"
"schoudervuurwapens","geweren","61"
"munitie voor lichte wapens","kogels (munitie)","59"
"projectielwapenonderdelen","werphouten","57"
"geschut naar vorm","kanonnen","53"
"onderdelen van blanke wapens","zwaardsieraden","52"
"slingers (projectielwapens)","steenslingers","51"
"zwaarden naar vorm","slagzwaarden","47"
"speren naar functie","jachtsperen","46"
"lemmeten","krislemmeten","44"
"speren naar vorm","pieken","43"
"projectiellanceerders met niet-explosief voortstuwingsmiddel","slingers (projectielwapens)","43"
"wapens","blanke wapens","41"
"projectielwapenonderdelen","boogpezen","38"
"bogen (wapens)","kruisbogen","36"
"ceremoniële wapens","ceremoniële zwaarden","34"
"slagwapens","knuppels","34"
"slotonderdelen","vuurstenen","28"
"messen (wapens)","hanengevechtsmesjes","27"
"onderdelen van blanke wapens","lemmeten","26"
"projectielen met niet-explosieve voorstuwing","werpstokken (projectielen)","26"
"onderdelen van blanke wapens","gevesten","26"
"projectielen met niet-explosieve voorstuwing","voetangels","23"
"ceremoniële wapens","ceremoniële dolken","21"
"wapens en munitie","munitie","19"
"ceremoniële dolken","magische dolken","19"
